Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of cellular response to heat (GO:1900034)	8/79	7.950707e-04	6.557963e-02	0	0	4.449559e+00	3.175686e+01	NUP107;HSPH1;NUP210;DNAJB6;RPA1;HIKESHI;SIRT1;MAPK3
GO_Biological_Process_2021	negative regulation of cell differentiation (GO:0045596)	13/191	1.072579e-03	8.552034e-02	0	0	2.897654e+00	1.981325e+01	SMAD3;LDLRAD4;RORB;SIRT1;MEIS2;FOXO1;DISP3;MEIS1;COL5A1;CCDC85B;ID2;CNTN4;ZFPM2
GO_Biological_Process_2021	negative regulation of RNA catabolic process (GO:1902369)	3/9	1.165914e-03	8.715204e-02	0	0	1.961167e+01	1.324621e+02	PHAX;TENT2;NRDE2
GO_Biological_Process_2021	negative regulation of ubiquitin protein ligase activity (GO:1904667)	3/9	1.165914e-03	8.715204e-02	0	0	1.961167e+01	1.324621e+02	RPL5;RPS7;RPL23
GO_Biological_Process_2021	peptidyl-lysine modification (GO:0018205)	9/106	1.365150e-03	9.895266e-02	0	0	3.666555e+00	2.418640e+01	ZNF451;KAT2B;NUP107;NUP210;PLOD2;PARK7;SIRT1;HDAC9;SENP1
GO_Biological_Process_2021	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	9/108	1.556494e-03	1.092852e-01	0	0	3.592113e+00	2.322415e+01	ZNF451;SMAD3;SMURF1;PMEPA1;STRAP;LDLRAD4;RPS27A;SIRT1;HIPK2
GO_Biological_Process_2021	regulation of peptidyl-lysine acetylation (GO:2000756)	3/10	1.634778e-03	1.092852e-01	0	0	1.680914e+01	1.078516e+02	DIP2A;PARK7;SIRT1
GO_Biological_Process_2021	DNA duplex unwinding (GO:0032508)	6/51	1.644760e-03	1.092852e-01	0	0	5.251012e+00	3.365983e+01	ANXA1;MCMDC2;MCM9;RPA1;RPS27A;GTF2H3
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	12/178	1.785806e-03	1.124098e-01	0	0	2.864013e+00	1.812315e+01	SDCBP;SMAD3;BTG1;USP2;NEK7;PSMB1;BRINP3;SIRT1;MEIS2;ANAPC1;LGMN;PTPN3
GO_Biological_Process_2021	axon guidance (GO:0007411)	13/203	1.856093e-03	1.124098e-01	0	0	2.712958e+00	1.706256e+01	NRP1;EPHA7;EPHA6;EPHA10;DCC;SEMA6D;GFRA1;UNC5D;SPTB;NFIB;CNTN4;EPHA3;MAPK3
GO_Biological_Process_2021	negative regulation of fat cell differentiation (GO:0045599)	5/36	1.902684e-03	1.124098e-01	0	0	6.343760e+00	3.974042e+01	SMAD3;CCDC85B;ZFPM2;SIRT1;FOXO1
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	11/156	1.921132e-03	1.124098e-01	0	0	3.002680e+00	1.878128e+01	RPS15;RPL5;PRKAB2;BRIP1;RPL23;USP2;RPA1;MAPKAPK5;DNA2;TOPBP1;HIPK2
GO_Biological_Process_2021	heme biosynthetic process (GO:0006783)	4/22	1.973751e-03	1.124098e-01	0	0	8.728495e+00	5.435949e+01	ABCB10;FECH;FLVCR1;NFE2L1
GO_Biological_Process_2021	protein import into peroxisome membrane (GO:0045046)	4/22	1.973751e-03	1.124098e-01	0	0	8.728495e+00	5.435949e+01	FIS1;ABCD2;ACBD5;ABCD3
GO_Biological_Process_2021	porphyrin-containing compound biosynthetic process (GO:0006779)	4/24	2.756202e-03	1.503868e-01	0	0	7.854839e+00	4.629565e+01	ABCB10;FECH;FLVCR1;NFE2L1
GO_Biological_Process_2021	transcription initiation from RNA polymerase II promoter (GO:0006367)	10/140	2.766312e-03	1.503868e-01	0	0	3.040816e+00	1.791114e+01	KAT2B;HDAC3;POLR2B;GTF2B;RARB;RORB;GTF2H3;PPARGC1A;HDAC9;NR3C2
GO_Biological_Process_2021	protein import into nucleus (GO:0006606)	7/76	2.893176e-03	1.519887e-01	0	0	3.998501e+00	2.337284e+01	NUP107;RPL23;RANBP17;HEATR3;HIKESHI;RGPD8;RAN
GO_Biological_Process_2021	ribosomal large subunit biogenesis (GO:0042273)	6/57	2.922860e-03	1.519887e-01	0	0	4.631817e+00	2.702754e+01	RPL5;RPL7A;NSA2;RPL10;HEATR3;RPL26
GO_Biological_Process_2021	axonogenesis (GO:0007409)	14/240	2.992944e-03	1.523217e-01	0	0	2.456717e+00	1.427721e+01	NRP1;EPHA7;EPHA6;EPHA10;DCC;SEMA6D;GFRA1;CCK;UNC5D;SPTB;SLITRK2;CNTN4;EPHA3;MAPK3
GO_Biological_Process_2021	ribosomal small subunit biogenesis (GO:0042274)	5/40	3.060344e-03	1.525071e-01	0	0	5.617605e+00	3.252159e+01	RPS15;RPS14;RPS16;RPS7;RPS24
GO_Biological_Process_2021	peroxisome organization (GO:0007031)	4/25	3.217176e-03	1.570507e-01	0	0	7.480415e+00	4.293198e+01	FIS1;ABCD2;ABCD3;PEX1
GO_Biological_Process_2021	DNA-templated transcription, initiation (GO:0006352)	11/168	3.417647e-03	1.635002e-01	0	0	2.771456e+00	1.573855e+01	KAT2B;HDAC3;POLR2B;GTF2B;RARB;RORB;GTF2H3;PPARGC1A;HDAC9;NR3C2;MAPK3
GO_Biological_Process_2021	regulation of neuron differentiation (GO:0045664)	7/79	3.599159e-03	1.679354e-01	0	0	3.831305e+00	2.155896e+01	DISP3;TIAM1;ID2;CNTN4;BRINP3;RHOA;YWHAH
GO_Biological_Process_2021	regulation of protein acetylation (GO:1901983)	3/13	3.684486e-03	1.679354e-01	0	0	1.176459e+01	6.592433e+01	FAM161A;PARK7;SIRT1
GO_Biological_Process_2021	negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	4/26	3.728003e-03	1.679354e-01	0	0	7.140029e+00	3.992621e+01	RPL5;RPS7;RPL23;HIPK2
GO_Biological_Process_2021	regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	5/42	3.798282e-03	1.679354e-01	0	0	5.313404e+00	2.961270e+01	RPL5;RPS7;SMURF1;RPL23;HIPK2
GO_Biological_Process_2021	regulation of fat cell differentiation (GO:0045598)	7/80	3.861391e-03	1.679354e-01	0	0	3.778627e+00	2.099680e+01	SMAD3;CCDC85B;ID2;CREBL2;ZFPM2;SIRT1;FOXO1
GO_Biological_Process_2021	ephrin receptor signaling pathway (GO:0048013)	7/82	4.429074e-03	1.891847e-01	0	0	3.677485e+00	1.993037e+01	TIAM1;SDCBP;EPHA7;EPHA6;EPHA10;RHOA;EPHA3
GO_Biological_Process_2021	erythrocyte differentiation (GO:0030218)	5/46	5.642027e-03	2.288917e-01	0	0	4.794038e+00	2.482119e+01	RPS14;ABCB10;ID2;FLVCR1;HIPK2
GO_Biological_Process_2021	posttranscriptional regulation of gene expression (GO:0010608)	5/46	5.642027e-03	2.288917e-01	0	0	4.794038e+00	2.482119e+01	PER1;RPL10;GEMIN5;TDRD7;MAPKAPK5
GO_Biological_Process_2021	glucose homeostasis (GO:0042593)	7/86	5.750919e-03	2.288917e-01	0	0	3.490564e+00	1.800571e+01	BACE2;CRY1;PARK7;SIRT1;ADIPOR2;PPARGC1A;FOXO1
GO_Biological_Process_2021	intracellular sequestering of iron ion (GO:0006880)	2/5	5.932812e-03	2.288917e-01	0	0	2.610040e+01	1.338235e+02	FTH1;SRI
GO_Biological_Process_2021	negative regulation of protein acetylation (GO:1901984)	2/5	5.932812e-03	2.288917e-01	0	0	2.610040e+01	1.338235e+02	PARK7;SIRT1
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902255)	2/5	5.932812e-03	2.288917e-01	0	0	2.610040e+01	1.338235e+02	RPS7;RPL26
GO_Biological_Process_2021	protein acetylation (GO:0006473)	4/31	7.112687e-03	2.650098e-01	0	0	5.816308e+00	2.876673e+01	KAT2B;GTF2B;SIRT1;FOXO1
GO_Biological_Process_2021	regulation of dendrite morphogenesis (GO:0048814)	4/32	7.971195e-03	2.650098e-01	0	0	5.608295e+00	2.709884e+01	CUX2;CUX1;LZTS1;YWHAH
GO_Biological_Process_2021	ribosome assembly (GO:0042255)	5/50	8.040894e-03	2.650098e-01	0	0	4.367003e+00	2.106300e+01	RPS15;RPL5;RPS14;RPL10;DHX29
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	6/70	8.055338e-03	2.650098e-01	0	0	3.688512e+00	1.778387e+01	HADHB;ABCD2;ACBD5;ABCD3;ECHDC2;DECR1
GO_Biological_Process_2021	gliogenesis (GO:0042063)	3/17	8.134124e-03	2.650098e-01	0	0	8.401552e+00	4.042564e+01	ANXA1;CDH2;NFIB
GO_Biological_Process_2021	maturation of 5.8S rRNA (GO:0000460)	3/17	8.134124e-03	2.650098e-01	0	0	8.401552e+00	4.042564e+01	NSA2;C1D;MPHOSPH6
GO_Biological_Process_2021	positive regulation of telomere capping (GO:1904355)	3/17	8.134124e-03	2.650098e-01	0	0	8.401552e+00	4.042564e+01	NEK7;MAPKAPK5;MAPK3
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	36/948	8.603009e-03	2.650098e-01	0	0	1.581329e+00	7.520239e+00	HDAC3;RPL10;CTBP2;NAB1;GLIS3;RORB;HDAC9;FOXO1;IRF2BPL;RPS14;SDCBP;EDNRB;CUX2;CUX1;CCDC85B;RPS27A;ZNF566;ZNF684;ZHX2;SMAD3;RPL23;USP2;NRG1;SIRT1;MEIS2;FOXP2;PER1;PER3;ID2;ZNF439;CRY1;RARB;ZFPM2;CGGBP1;JDP2;PPID
GO_Biological_Process_2021	cholesterol homeostasis (GO:0042632)	6/71	8.618199e-03	2.650098e-01	0	0	3.631579e+00	1.726409e+01	DISP3;SOAT1;CYP7B1;SIRT1;HDAC9;TTC39B
GO_Biological_Process_2021	alditol metabolic process (GO:0019400)	2/6	8.752413e-03	2.650098e-01	0	0	1.957430e+01	9.275136e+01	GK5;GK
GO_Biological_Process_2021	chromatin organization involved in negative regulation of transcription (GO:0097549)	2/6	8.752413e-03	2.650098e-01	0	0	1.957430e+01	9.275136e+01	SMCHD1;SIRT1
GO_Biological_Process_2021	glycerol-3-phosphate metabolic process (GO:0006072)	2/6	8.752413e-03	2.650098e-01	0	0	1.957430e+01	9.275136e+01	GK5;GK
GO_Biological_Process_2021	macromolecule biosynthetic process (GO:0009059)	2/6	8.752413e-03	2.650098e-01	0	0	1.957430e+01	9.275136e+01	COL5A1;RPS23
GO_Biological_Process_2021	negative regulation of cell size (GO:0045792)	2/6	8.752413e-03	2.650098e-01	0	0	1.957430e+01	9.275136e+01	DEPTOR;RHOA
GO_Biological_Process_2021	negative regulation of endoplasmic reticulum calcium ion concentration (GO:0032471)	2/6	8.752413e-03	2.650098e-01	0	0	1.957430e+01	9.275136e+01	BCAP31;FIS1
GO_Biological_Process_2021	negative regulation of glucocorticoid receptor signaling pathway (GO:2000323)	2/6	8.752413e-03	2.650098e-01	0	0	1.957430e+01	9.275136e+01	PER1;CRY1
GO_Biological_Process_2021	positive regulation of gluconeogenesis (GO:0045722)	2/6	8.752413e-03	2.650098e-01	0	0	1.957430e+01	9.275136e+01	PPARGC1A;SIRT1
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	6/72	9.208692e-03	2.753399e-01	0	0	3.576371e+00	1.676462e+01	DISP3;SOAT1;CYP7B1;SIRT1;HDAC9;TTC39B
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	5/52	9.471811e-03	2.773874e-01	0	0	4.180744e+00	1.947990e+01	HADHB;ABCD2;ABCD3;ECHDC2;DECR1
GO_Biological_Process_2021	outer dynein arm assembly (GO:0036158)	3/18	9.582224e-03	2.773874e-01	0	0	7.841046e+00	3.644397e+01	DNAAF5;DNAI1;DNAL1
GO_Biological_Process_2021	regulation of cellular response to stress (GO:0080135)	8/118	9.625064e-03	2.773874e-01	0	0	2.866223e+00	1.330898e+01	NUP107;HSPH1;NUP210;DNAJB6;RPA1;HIKESHI;SIRT1;MAPK3
GO_Biological_Process_2021	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	8/119	1.010053e-02	2.876245e-01	0	0	2.840255e+00	1.305145e+01	BCAP31;FIS1;CASP8AP2;SMAD3;GSN;FAM162A;SIRT1;SENP1
GO_Biological_Process_2021	ATP synthesis coupled proton transport (GO:0015986)	3/19	1.117082e-02	2.971915e-01	0	0	7.350604e+00	3.303692e+01	VPS9D1;ATP5MG;ATP5F1E
GO_Biological_Process_2021	fatty acid transmembrane transport (GO:1902001)	3/19	1.117082e-02	2.971915e-01	0	0	7.350604e+00	3.303692e+01	ABCD2;PRKAB2;ABCD3
GO_Biological_Process_2021	negative regulation of RNA metabolic process (GO:0051253)	3/19	1.117082e-02	2.971915e-01	0	0	7.350604e+00	3.303692e+01	KAT2B;NRDE2;RPS13
GO_Biological_Process_2021	negative regulation of RNA splicing (GO:0033119)	3/19	1.117082e-02	2.971915e-01	0	0	7.350604e+00	3.303692e+01	RBMX;SRSF10;RPS13
GO_Biological_Process_2021	establishment of protein localization to organelle (GO:0072594)	6/76	1.186095e-02	2.971915e-01	0	0	3.371313e+00	1.495010e+01	NUP107;LAMP2;RANBP17;HEATR3;HIKESHI;RAN
GO_Biological_Process_2021	regulation of glucocorticoid receptor signaling pathway (GO:2000322)	2/7	1.205166e-02	2.971915e-01	0	0	1.565863e+01	6.918850e+01	PER1;CRY1
GO_Biological_Process_2021	regulation of prostaglandin biosynthetic process (GO:0031392)	2/7	1.205166e-02	2.971915e-01	0	0	1.565863e+01	6.918850e+01	ANXA1;SIRT1
GO_Biological_Process_2021	regulation of striated muscle cell differentiation (GO:0051153)	2/7	1.205166e-02	2.971915e-01	0	0	1.565863e+01	6.918850e+01	NRG1;HDAC9
GO_Biological_Process_2021	ribosomal small subunit export from nucleus (GO:0000056)	2/7	1.205166e-02	2.971915e-01	0	0	1.565863e+01	6.918850e+01	RPS15;RAN
GO_Biological_Process_2021	substrate-dependent cell migration, cell extension (GO:0006930)	2/7	1.205166e-02	2.971915e-01	0	0	1.565863e+01	6.918850e+01	NRP1;SDCBP
GO_Biological_Process_2021	very long-chain fatty acid catabolic process (GO:0042760)	2/7	1.205166e-02	2.971915e-01	0	0	1.565863e+01	6.918850e+01	ABCD2;ABCD3
GO_Biological_Process_2021	white fat cell differentiation (GO:0050872)	2/7	1.205166e-02	2.971915e-01	0	0	1.565863e+01	6.918850e+01	CTBP2;SIRT1
GO_Biological_Process_2021	positive regulation of unsaturated fatty acid biosynthetic process (GO:2001280)	2/7	1.205166e-02	2.971915e-01	0	0	1.565863e+01	6.918850e+01	ABCD2;ANXA1
GO_Biological_Process_2021	import into nucleus (GO:0051170)	6/77	1.260000e-02	3.019574e-01	0	0	3.323659e+00	1.453788e+01	NUP107;RANBP17;GEMIN5;HEATR3;HIKESHI;RAN
GO_Biological_Process_2021	mitochondrial transport (GO:0006839)	5/56	1.284025e-02	3.019574e-01	0	0	3.852050e+00	1.677633e+01	BCAP31;FIS1;ABCB10;FLVCR1;TOMM7
GO_Biological_Process_2021	positive regulation of peptidyl-lysine acetylation (GO:2000758)	3/20	1.290214e-02	3.019574e-01	0	0	6.917860e+00	3.009519e+01	DIP2A;PPARGC1A;MAPK3
GO_Biological_Process_2021	lysosome localization (GO:0032418)	4/37	1.327863e-02	3.019574e-01	0	0	4.757331e+00	2.055928e+01	CHGA;KLC2;NDEL1;ARL8B
GO_Biological_Process_2021	negative regulation of stress-activated MAPK cascade (GO:0032873)	4/37	1.327863e-02	3.019574e-01	0	0	4.757331e+00	2.055928e+01	PER1;SH3RF2;HDAC3;FOXO1
GO_Biological_Process_2021	positive regulation of exocytosis (GO:0045921)	4/37	1.327863e-02	3.019574e-01	0	0	4.757331e+00	2.055928e+01	SDCBP;CADPS2;ATP6AP1;RAB5A
GO_Biological_Process_2021	protein targeting (GO:0006605)	8/125	1.332725e-02	3.019574e-01	0	0	2.693767e+00	1.163154e+01	BCAP31;SDCBP;FIS1;EDEM1;LAMP2;TOMM7;PEX1;TRAK2
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	8/126	1.393065e-02	3.019574e-01	0	0	2.670801e+00	1.141410e+01	SMAD3;BTG1;PSRC1;DCC;CCDC85B;PPT1;SIRT1;RERG
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	19/437	1.440441e-02	3.019574e-01	0	0	1.803251e+00	7.646181e+00	RPL5;PRKAB2;MCF2;RASGRF2;USP2;MINK1;RPA1;RHOA;ARHGAP24;HIPK2;GNA13;TIAM1;ARHGAP10;BRIP1;CASTOR2;MAPKAPK5;DNA2;TOPBP1;MAPK3
GO_Biological_Process_2021	ncRNA export from nucleus (GO:0097064)	4/38	1.455473e-02	3.019574e-01	0	0	4.617173e+00	1.952990e+01	NUP107;NUP210;PHAX;RAN
GO_Biological_Process_2021	negative regulation of TOR signaling (GO:0032007)	4/38	1.455473e-02	3.019574e-01	0	0	4.617173e+00	1.952990e+01	DEPTOR;CASTOR2;MAPKAPK5;SIRT1
GO_Biological_Process_2021	regulation of ubiquitin protein ligase activity (GO:1904666)	3/21	1.477799e-02	3.019574e-01	0	0	6.533199e+00	2.753493e+01	RPL5;RPS7;RPL23
GO_Biological_Process_2021	intracellular lipid transport (GO:0032365)	3/21	1.477799e-02	3.019574e-01	0	0	6.533199e+00	2.753493e+01	ABCD2;PRKAB2;ABCD3
GO_Biological_Process_2021	fat cell differentiation (GO:0045444)	5/58	1.479396e-02	3.019574e-01	0	0	3.706308e+00	1.561666e+01	CTBP2;OSBPL11;SIRT1;PPARGC1A;FOXO1
GO_Biological_Process_2021	negative regulation of neuron projection development (GO:0010977)	5/58	1.479396e-02	3.019574e-01	0	0	3.706308e+00	1.561666e+01	PRAG1;DCC;MCF2;DPYSL3;RHOA
GO_Biological_Process_2021	protein stabilization (GO:0050821)	10/179	1.481878e-02	3.019574e-01	0	0	2.334380e+00	9.832081e+00	RPL5;PER3;RPS7;RPL23;LAMP2;USP2;CREBL2;PARK7;PPARGC1A;GAPDH
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	15/320	1.522829e-02	3.019574e-01	0	0	1.946426e+00	8.145014e+00	HDAC3;GTF2B;CPSF2;GLIS3;PHAX;RORB;GTF2H3;HDAC9;NR3C2;KAT2B;POLR2B;RARB;INTS9;PPARGC1A;RBMX
GO_Biological_Process_2021	autophagosome-lysosome fusion (GO:0061909)	2/8	1.580491e-02	3.019574e-01	0	0	1.304819e+01	5.411652e+01	RUBCNL;ARL8B
GO_Biological_Process_2021	cellular response to hepatocyte growth factor stimulus (GO:0035729)	2/8	1.580491e-02	3.019574e-01	0	0	1.304819e+01	5.411652e+01	NRP1;LGMN
