Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Oxidative phosphorylation	1/133	4.877191e-01	7.594513e-01	0	0	1.512703e+00	1.086144e+00	NDUFA4
KEGG_2021_Human	Yersinia infection	1/137	4.979564e-01	7.594513e-01	0	0	1.467914e+00	1.023493e+00	VAV3
KEGG_2021_Human	Estrogen signaling pathway	1/137	4.979564e-01	7.594513e-01	0	0	1.467914e+00	1.023493e+00	FKBP5
KEGG_2021_Human	Neuroactive ligand-receptor interaction	2/341	5.107232e-01	7.594513e-01	0	0	1.177593e+00	7.912574e-01	CCK;GRIK1
KEGG_2021_Human	Retrograde endocannabinoid signaling	1/148	5.250764e-01	7.594513e-01	0	0	1.357315e+00	8.743976e-01	NDUFA4
KEGG_2021_Human	Oxytocin signaling pathway	1/154	5.392525e-01	7.594513e-01	0	0	1.303690e+00	8.051218e-01	CACNB4
KEGG_2021_Human	Non-alcoholic fatty liver disease	1/155	5.415741e-01	7.594513e-01	0	0	1.295159e+00	7.942893e-01	NDUFA4
KEGG_2021_Human	Hepatitis C	1/157	5.461827e-01	7.594513e-01	0	0	1.278425e+00	7.731939e-01	YWHAH
KEGG_2021_Human	Hippo signaling pathway	1/163	5.597348e-01	7.594513e-01	0	0	1.230702e+00	7.141667e-01	YWHAH
KEGG_2021_Human	cGMP-PKG signaling pathway	1/167	5.685462e-01	7.594513e-01	0	0	1.200803e+00	6.780608e-01	PDE3A
KEGG_2021_Human	Tight junction	1/169	5.728862e-01	7.594513e-01	0	0	1.186388e+00	6.608988e-01	TIAM1
KEGG_2021_Human	Protein processing in endoplasmic reticulum	1/171	5.771830e-01	7.594513e-01	0	0	1.172311e+00	6.442975e-01	HSPH1
KEGG_2021_Human	Alcoholism	1/186	6.080733e-01	7.804803e-01	0	0	1.076440e+00	5.354856e-01	HDAC9
KEGG_2021_Human	Neutrophil extracellular trap formation	1/189	6.139778e-01	7.804803e-01	0	0	1.059102e+00	5.166261e-01	HDAC9
KEGG_2021_Human	Focal adhesion	1/201	6.367278e-01	7.873626e-01	0	0	9.949495e-01	4.491331e-01	VAV3
KEGG_2021_Human	Diabetic cardiomyopathy	1/203	6.403882e-01	7.873626e-01	0	0	9.849985e-01	4.389948e-01	NDUFA4
KEGG_2021_Human	Lipid and atherosclerosis	1/215	6.615963e-01	7.967032e-01	0	0	9.291985e-01	3.838516e-01	VAV3
KEGG_2021_Human	Thermogenesis	1/232	6.895374e-01	7.967032e-01	0	0	8.600726e-01	3.197185e-01	NDUFA4
KEGG_2021_Human	Ras signaling pathway	1/232	6.895374e-01	7.967032e-01	0	0	8.600726e-01	3.197185e-01	TIAM1
KEGG_2021_Human	Pathways of neurodegeneration	2/475	6.904761e-01	7.967032e-01	0	0	8.382017e-01	3.104480e-01	TRPC3;NDUFA4
KEGG_2021_Human	Parkinson disease	1/249	7.151927e-01	8.127189e-01	0	0	8.004236e-01	2.683046e-01	NDUFA4
KEGG_2021_Human	Prion disease	1/273	7.478760e-01	8.371747e-01	0	0	7.289067e-01	2.117606e-01	NDUFA4
KEGG_2021_Human	MAPK signaling pathway	1/294	7.734097e-01	8.476391e-01	0	0	6.759403e-01	1.736804e-01	CACNB4
KEGG_2021_Human	Huntington disease	1/306	7.868328e-01	8.476391e-01	0	0	6.489485e-01	1.555786e-01	NDUFA4
KEGG_2021_Human	MicroRNAs in cancer	1/310	7.911299e-01	8.476391e-01	0	0	6.404171e-01	1.500453e-01	ZFPM2
KEGG_2021_Human	PI3K-Akt signaling pathway	1/354	8.330931e-01	8.685582e-01	0	0	5.593327e-01	1.021397e-01	YWHAH
KEGG_2021_Human	Amyotrophic lateral sclerosis	1/364	8.413986e-01	8.685582e-01	0	0	5.436458e-01	9.388204e-02	NDUFA4
KEGG_2021_Human	Alzheimer disease	1/369	8.453966e-01	8.685582e-01	0	0	5.361221e-01	9.004138e-02	NDUFA4
KEGG_2021_Human	Olfactory transduction	1/440	8.924860e-01	9.045466e-01	0	0	4.477808e-01	5.093258e-02	SLC24A4
KEGG_2021_Human	Pathways in cancer	1/531	9.326351e-01	9.326351e-01	0	0	3.691633e-01	2.574592e-02	DCC
