Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	L13a-mediated Translational Silencing of Ceruloplasmin Expression	22/116	1.132922e-13	1.037716e-11	0	0	9.501736e+00	2.832354e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Influenza Infection	26/169	1.169004e-13	1.037716e-11	0	0	7.425010e+00	2.210979e+02	RPL5;RPL30;NUP107;RPL32;RPL10;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;POLR2B;RPS27A;RPS13;RPS12;NUP210;RPS7;RPL23;RPL26;FAU;RPS21;RPS24;RAN;RPS23
Reactome_Pathways_2024	GTP Hydrolysis and Joining of the 60S Ribosomal Subunit	22/117	1.363360e-13	1.123798e-11	0	0	9.401233e+00	2.784989e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Nonsense Mediated Decay (NMD) Enhanced by the Exon Junction Complex (EJC)	22/120	2.348534e-13	1.693880e-11	0	0	9.112031e+00	2.649762e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Nonsense-Mediated Decay (NMD)	22/120	2.348534e-13	1.693880e-11	0	0	9.112031e+00	2.649762e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Cap-dependent Translation Initiation	22/124	4.726132e-13	3.029976e-11	0	0	8.752892e+00	2.484114e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Eukaryotic Translation Initiation	22/124	4.726132e-13	3.029976e-11	0	0	8.752892e+00	2.484114e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Cellular Response to Starvation	24/161	2.102660e-12	1.277089e-10	0	0	7.126173e+00	1.916072e+02	RPL5;RPL30;ATP6V0E1;RPL32;RPS7;MIOS;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Nervous System Development	45/567	8.584743e-12	4.953397e-10	0	0	3.595680e+00	9.162165e+01	RPL5;NRP1;RPL30;RPL10;RPL32;EPHA10;RPLP1;NAB1;RPL8;CACNA1G;RPS15;RPL7A;RPS14;SDCBP;RPS15A;RPS16;RPL36AL;DPYSL3;PSMB1;ST8SIA4;RPS27A;RPS13;RPS12;MAPK3;EPHA7;EPHA6;RPS7;DCC;RPL23;SEMA6D;GFRA1;UNC5D;SPTB;POU3F2;RHOA;TIAM1;CACNB4;COL5A1;RPL26;FAU;UTRN;RPS21;EPHA3;RPS24;RPS23
Reactome_Pathways_2024	Signaling by ROBO Receptors	26/210	1.939608e-11	1.065861e-09	0	0	5.758301e+00	1.420340e+02	RPL5;NRP1;RPL30;RPL32;RPL10;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;PSMB1;RPS27A;RPS13;RPS12;RPS7;DCC;RPL23;RHOA;RPL26;FAU;RPS21;RPS24;RPS23
Reactome_Pathways_2024	Regulation of Expression of SLITs and ROBOs	23/164	2.203041e-11	1.155595e-09	0	0	6.620233e+00	1.624512e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;PSMB1;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	rRNA Processing	27/237	5.546120e-11	2.782706e-09	0	0	5.243431e+00	1.238254e+02	RPL5;RPL30;RPL32;RPL10;RPLP1;RPL8;MT-ND3;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPS27A;RPS13;RPS12;RPS7;RPL23;C1D;MT-CO2;RPL26;FAU;MT-CYB;RPS21;RPS24;RPS23;MPHOSPH6
Reactome_Pathways_2024	Major Pathway of rRNA Processing in the Nucleolus and Cytosol	24/189	6.820733e-11	3.279636e-09	0	0	5.908327e+00	1.383049e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;C1D;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23;MPHOSPH6
Reactome_Pathways_2024	Axon Guidance	42/541	8.805569e-11	4.064651e-09	0	0	3.491883e+00	8.084776e+01	RPL5;NRP1;RPL30;RPL10;RPL32;EPHA10;RPLP1;RPL8;CACNA1G;RPS15;RPL7A;RPS14;SDCBP;RPS15A;RPS16;RPL36AL;DPYSL3;PSMB1;ST8SIA4;RPS27A;RPS13;RPS12;MAPK3;EPHA7;EPHA6;RPS7;DCC;RPL23;SEMA6D;GFRA1;UNC5D;SPTB;RHOA;TIAM1;CACNB4;COL5A1;RPL26;FAU;RPS21;EPHA3;RPS24;RPS23
Reactome_Pathways_2024	rRNA Processing in the Nucleus and Cytosol	24/199	2.020082e-10	8.966056e-09	0	0	5.567827e+00	1.242890e+02	RPL5;RPL30;RPL32;RPL10;RPS7;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;C1D;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23;MPHOSPH6
Reactome_Pathways_2024	SARS-CoV-1 Modulates Host Translation Machinery	12/41	2.136437e-10	9.131289e-09	0	0	1.651018e+01	3.676273e+02	RPS15;RPS14;RPS15A;RPS16;RPS7;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	SARS-CoV-2 Modulates Host Translation Machinery	13/55	7.103118e-10	2.927499e-08	0	0	1.236697e+01	2.605141e+02	RPS7;RPS15;RPS14;RPS16;RPS15A;GEMIN5;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Formation of the Ternary Complex, and Subsequently, the 43S Complex	12/53	5.494600e-09	2.186472e-07	0	0	1.167073e+01	2.219715e+02	RPS15;RPS14;RPS16;RPS15A;RPS7;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Ribosomal Scanning and Start Codon Recognition	12/60	2.458845e-08	9.153247e-07	0	0	9.965164e+00	1.745995e+02	RPS15;RPS14;RPS16;RPS15A;RPS7;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Translation Initiation Complex Formation	12/60	2.458845e-08	9.153247e-07	0	0	9.965164e+00	1.745995e+02	RPS15;RPS14;RPS16;RPS15A;RPS7;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	12/61	2.992371e-08	1.079124e-06	0	0	9.761291e+00	1.691106e+02	RPS15;RPS14;RPS16;RPS15A;RPS7;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Cellular Responses to Stress	46/787	8.866523e-08	3.100596e-06	0	0	2.565036e+00	4.165207e+01	RPL5;RPL30;HDAC3;NUP107;RPL10;RPL32;RPLP1;HIKESHI;RPL8;NR3C2;RPS15;RPL7A;RPS14;HSPH1;EXTL1;RPS15A;RPS16;PGRMC2;DNAJB6;RPL36AL;PSMB1;RPS27A;PPARGC1A;RPS13;RPS12;MAPK3;H2AZ2;ATP6V0E1;NUP210;MIOS;RPS7;RPL23;EDEM1;GSR;MINK1;RPA1;SIRT1;MT-CO2;MAPKAPK5;RPL26;FAU;RPS21;ANAPC1;RPS24;FKBP5;RPS23
Reactome_Pathways_2024	Metabolism of Amino Acids and Derivatives	28/358	1.131308e-07	3.839792e-06	0	0	3.446071e+00	5.511894e+01	RPL5;RPL30;RPL32;RPL10;RPLP1;MRI1;RPL8;HNMT;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;PSMB1;RPS27A;RPS13;RPS12;RPS7;RPL23;GSR;KYAT3;RPL26;FAU;ALDH7A1;RPS21;RPS24;RPS23
Reactome_Pathways_2024	Translation	25/302	1.865255e-07	6.150014e-06	0	0	3.652480e+00	5.659407e+01	RPL5;RPL30;RPL32;RPL10;RPLP1;RPL8;RPS15;RPS14;MRPL42;RPL7A;RPS16;RPS15A;RPL36AL;RPS27A;RPS13;RPS12;RPS7;RPL23;MRPL48;SRP9;RPL26;FAU;RPS21;RPS24;RPS23
Reactome_Pathways_2024	Developmental Biology	66/1385	3.133704e-07	1.004526e-05	0	0	2.096173e+00	3.139204e+01	RPL5;NRP1;RPL30;RPL32;RPLP1;NAB1;RPL8;RPS15;RPL7A;RPS14;EDNRB;RPS16;CDH2;RPL36AL;DPYSL3;RPS13;RPS12;EPHA7;EPHA6;ATP6V0E1;RPS7;DCC;RPL23;SEMA6D;GFRA1;UNC5D;SIRT1;SPTB;POU3F2;RHOA;KAT2B;TIAM1;CACNB4;TET3;RARB;RPL26;UTRN;ZFPM2;EPHA3;HDAC3;RPL10;EPHA10;PCDH19;FOXO1;CACNA1G;SDCBP;RPS15A;RBBP5;POLR2B;PSMB1;ST8SIA4;RPS27A;PPARGC1A;PAIP1;MAPK3;H2AZ2;SMAD3;KRT10;CPEB1;KITLG;MEIS1;COL5A1;FAU;RPS21;RPS24;RPS23
Reactome_Pathways_2024	Metabolism of RNA	43/761	5.939727e-07	1.852553e-05	0	0	2.461329e+00	3.528668e+01	RPL5;RPL30;SF3B3;NUP107;RPL10;RPL32;RPLP1;PHAX;RPL8;MT-ND3;RPS15;RPL7A;RPS14;RPS15A;RPS16;POLR2B;RPL36AL;DHX35;PSMB1;RPS27A;SRSF10;RPS13;PAIP1;RPS12;NUP210;RPS7;RPL23;CPSF2;GTF2H3;SMU1;C1D;TRMT13;GEMIN5;MT-CO2;RPL26;FAU;MT-CYB;RPS21;RBMX;RAN;RPS24;RPS23;MPHOSPH6
Reactome_Pathways_2024	SARS-CoV-1-host Interactions	14/112	7.945609e-07	2.412956e-05	0	0	5.703116e+00	8.010298e+01	SMAD3;RPS7;RPS15;RPS14;RPS16;RPS15A;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23;YWHAH
Reactome_Pathways_2024	Cellular Responses to Stimuli	46/887	2.515218e-06	7.442465e-05	0	0	2.247990e+00	2.898367e+01	RPL5;RPL30;HDAC3;NUP107;RPL10;RPL32;RPLP1;HIKESHI;RPL8;NR3C2;RPS15;RPL7A;RPS14;HSPH1;EXTL1;RPS15A;RPS16;PGRMC2;DNAJB6;RPL36AL;PSMB1;RPS27A;PPARGC1A;RPS13;RPS12;MAPK3;H2AZ2;ATP6V0E1;NUP210;MIOS;RPS7;RPL23;EDEM1;GSR;MINK1;RPA1;SIRT1;MT-CO2;MAPKAPK5;RPL26;FAU;RPS21;ANAPC1;RPS24;FKBP5;RPS23
Reactome_Pathways_2024	SARS-CoV-2-host Interactions	17/218	3.674360e-05	1.060053e-03	0	0	3.379407e+00	3.450897e+01	NUP107;SEC24A;NUP210;RPS7;RPS15;RPS14;RPS16;RPS15A;GEMIN5;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23;YWHAH
Reactome_Pathways_2024	SARS-CoV-1 Infection	14/157	4.148623e-05	1.167686e-03	0	0	3.899364e+00	3.934516e+01	SMAD3;RPS7;RPS15;RPS14;RPS16;RPS15A;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23;YWHAH
Reactome_Pathways_2024	SARS-CoV-2 Infection	21/313	4.425839e-05	1.216052e-03	0	0	2.883919e+00	2.891263e+01	NRP1;NUP107;SEC24A;NUP210;RPS7;ANO6;RPS15;RPS14;RPS16;RPS15A;GEMIN5;GPC5;FAU;RPS27A;RPS21;GPC6;RPS13;RPS24;RPS12;RPS23;YWHAH
Reactome_Pathways_2024	RHOA GTPase Cycle	12/149	3.745803e-04	1.005269e-02	0	0	3.475470e+00	2.742043e+01	BCAP31;TIAM1;ARHGAP10;ACBD5;ABCD3;PGRMC2;ATP6AP1;RASGRF2;MCF2;ARHGAP24;RHOA;TMPO
Reactome_Pathways_2024	Downregulation of TGF-beta Receptor Signaling	5/26	4.076368e-04	1.069120e-02	0	0	9.369408e+00	7.312949e+01	SMAD3;SMURF1;PMEPA1;STRAP;RPS27A
Reactome_Pathways_2024	EPHA-mediated Growth Cone Collapse	5/29	6.918757e-04	1.774277e-02	0	0	8.196970e+00	5.964201e+01	EPHA7;EPHA6;EPHA10;RHOA;EPHA3
Reactome_Pathways_2024	FOXO-mediated Transcription of Cell Cycle Genes	4/17	7.089724e-04	1.778596e-02	0	0	1.208871e+01	8.766362e+01	BTG1;SMAD3;CCNG2;FOXO1
Reactome_Pathways_2024	NCAM Signaling for Neurite Out-Growth	7/63	9.661681e-04	2.372251e-02	0	0	4.930020e+00	3.422505e+01	CACNB4;COL5A1;ST8SIA4;GFRA1;SPTB;CACNA1G;MAPK3
Reactome_Pathways_2024	Regulation of HSF1-mediated Heat Shock Response	8/83	1.102250e-03	2.649993e-02	0	0	4.211382e+00	2.868120e+01	NUP107;HSPH1;NUP210;DNAJB6;RPA1;HIKESHI;SIRT1;MAPK3
Reactome_Pathways_2024	Class I Peroxisomal Membrane Protein Import	4/20	1.360000e-03	3.202940e-02	0	0	9.820565e+00	6.481838e+01	FIS1;ABCD2;ACBD5;ABCD3
Reactome_Pathways_2024	FOXO-mediated Transcription	7/67	1.394231e-03	3.217886e-02	0	0	4.600406e+00	3.024956e+01	KAT2B;BTG1;SMAD3;CCNG2;SIRT1;PPARGC1A;FOXO1
Reactome_Pathways_2024	Regulation of FOXO Transcriptional Activity by Acetylation	3/10	1.634778e-03	3.699086e-02	0	0	1.680914e+01	1.078516e+02	KAT2B;SIRT1;FOXO1
Reactome_Pathways_2024	Regulation of TP53 Activity Through Phosphorylation	8/92	2.141189e-03	4.751792e-02	0	0	3.758420e+00	2.310073e+01	PRKAB2;BRIP1;RPA1;MAPKAPK5;TOPBP1;DNA2;RPS27A;HIPK2
Reactome_Pathways_2024	Viral Infection Pathways	41/1029	2.266931e-03	4.935921e-02	0	0	1.673661e+00	1.019147e+01	RPL5;NRP1;RPL30;HDAC3;NUP107;RPL10;RPL32;RPLP1;GTF2B;RPL8;RPS15;RPL7A;RPS14;RPS15A;RPS16;POLR2B;RPL36AL;PSMB1;AP1S2;GPC5;RPS27A;GPC6;RPS13;RPS12;YWHAH;BCAP31;SEC24A;SMAD3;NUP210;RPS7;RPL23;ANO6;GTF2H3;GEMIN5;RPL26;FAU;RAB5A;RPS21;RAN;RPS24;RPS23
Reactome_Pathways_2024	Presynaptic Phase of Homologous DNA Pairing and Strand Exchange	5/40	3.060344e-03	6.540068e-02	0	0	5.617605e+00	3.252159e+01	BRIP1;RAD51C;RPA1;TOPBP1;DNA2
Reactome_Pathways_2024	Defective Homologous Recombination Repair (HRR) Due to BRCA2 Loss of Function	5/41	3.415015e-03	7.037370e-02	0	0	5.461279e+00	3.101774e+01	BRIP1;RAD51C;RPA1;TOPBP1;DNA2
Reactome_Pathways_2024	Diseases of DNA Double-Strand Break Repair	5/41	3.415015e-03	7.037370e-02	0	0	5.461279e+00	3.101774e+01	BRIP1;RAD51C;RPA1;TOPBP1;DNA2
Reactome_Pathways_2024	NCAM1 Interactions	5/42	3.798282e-03	7.618709e-02	0	0	5.313404e+00	2.961270e+01	CACNB4;COL5A1;ST8SIA4;GFRA1;CACNA1G
Reactome_Pathways_2024	Cellular Response to Heat Stress	8/101	3.829161e-03	7.618709e-02	0	0	3.393129e+00	1.888313e+01	NUP107;HSPH1;NUP210;DNAJB6;RPA1;HIKESHI;SIRT1;MAPK3
Reactome_Pathways_2024	Homologous DNA Pairing and Strand Exchange	5/43	4.211386e-03	8.237185e-02	0	0	5.173312e+00	2.829783e+01	BRIP1;RAD51C;RPA1;TOPBP1;DNA2
Reactome_Pathways_2024	TGF-beta Receptor Signaling Activates SMADs	5/47	6.186730e-03	1.189914e-01	0	0	4.679654e+00	2.379767e+01	SMAD3;SMURF1;PMEPA1;STRAP;RPS27A
Reactome_Pathways_2024	NOTCH1 Intracellular Domain Regulates Transcription	5/48	6.767333e-03	1.270107e-01	0	0	4.570590e+00	2.283306e+01	TLE4;KAT2B;HDAC3;RPS27A;HDAC9
Reactome_Pathways_2024	TGF-beta Receptor Signaling in EMT (Epithelial to Mesenchymal Transition)	3/16	6.823799e-03	1.270107e-01	0	0	9.048290e+00	4.512689e+01	SMURF1;RPS27A;RHOA
Reactome_Pathways_2024	SARS-CoV Infections	22/498	7.461065e-03	1.355841e-01	0	0	1.839457e+00	9.009766e+00	NRP1;NUP107;SEC24A;SMAD3;NUP210;RPS7;ANO6;RPS15;RPS14;RPS15A;RPS16;GEMIN5;GPC5;FAU;RPS27A;RPS21;GPC6;RPS13;RPS24;RPS12;RPS23;YWHAH
Reactome_Pathways_2024	HDR Through Homologous Recombination (HRR)	6/69	7.519398e-03	1.355841e-01	0	0	3.747253e+00	1.832507e+01	BRIP1;RAD51C;RPA1;TOPBP1;DNA2;RPS27A
Reactome_Pathways_2024	Circadian Clock	6/70	8.055338e-03	1.422575e-01	0	0	3.688512e+00	1.778387e+01	PER1;HDAC3;CRY1;RPS27A;SIRT1;PPARGC1A
Reactome_Pathways_2024	EPH-Ephrin Signaling	7/92	8.258929e-03	1.422575e-01	0	0	3.243169e+00	1.555573e+01	TIAM1;SDCBP;EPHA7;EPHA6;EPHA10;RHOA;EPHA3
Reactome_Pathways_2024	Metabolism	72/2181	8.499141e-03	1.422575e-01	0	0	1.387192e+00	6.613842e+00	RPL5;RPL30;NUP107;RPL32;RPLP1;GBE1;RPL8;HNMT;MT-ND3;RPS15;RPL7A;RPS14;RPS16;CA5B;RPL36AL;NMRK1;FLVCR1;CPNE3;RPS13;PDK1;RPS12;PRKAB2;NUP210;RPS7;RPL23;CYP7B1;PHKA2;HADHB;TPST2;INPP4B;MTHFD2L;ALDH1A1;MT-CO2;RPL26;GAPDH;ALDH7A1;ACSS2;HDAC3;RPL10;FECH;NDUFB2;MRI1;ADIPOR2;MTMR6;HSD11B2;BRIP1;RPS15A;PSMB1;GPC5;CEPT1;RPS27A;PPARGC1A;ATP5MG;GPC6;DECR1;ACBD5;SEC24A;GK;TPK1;GSR;ATP5F1E;PPT1;KYAT3;PLCH2;FAU;MT-CYB;RAB5A;RPS21;RAN;RPS24;LGMN;RPS23
Reactome_Pathways_2024	Diseases of DNA Repair	5/51	8.736127e-03	1.422575e-01	0	0	4.271849e+00	2.024980e+01	BRIP1;RAD51C;RPA1;TOPBP1;DNA2
Reactome_Pathways_2024	EPH-ephrin Mediated Repulsion of Cells	5/51	8.736127e-03	1.422575e-01	0	0	4.271849e+00	2.024980e+01	TIAM1;EPHA7;EPHA6;EPHA10;EPHA3
Reactome_Pathways_2024	Transcriptional and Post-Translational Regulation of MITF-M Expression and Activity	5/51	8.736127e-03	1.422575e-01	0	0	4.271849e+00	2.024980e+01	KITLG;EDNRB;POU3F2;SIRT1;MAPK3
Reactome_Pathways_2024	Mitochondrial Fatty Acid Beta-Oxidation of Unsaturated Fatty Acids	2/6	8.752413e-03	1.422575e-01	0	0	1.957430e+01	9.275136e+01	HADHB;DECR1
Reactome_Pathways_2024	Signaling by TGF-beta Receptor Complex	7/94	9.250815e-03	1.482700e-01	0	0	3.168287e+00	1.483723e+01	SMAD3;SMURF1;PMEPA1;STRAP;RPS27A;RHOA;MAPK3
Reactome_Pathways_2024	RHO GTPase Cycle	20/450	9.817757e-03	1.552013e-01	0	0	1.847868e+00	8.543734e+00	BCAP31;ACBD5;ABCD3;ATP6AP1;MCF2;RASGRF2;TMOD3;OSBPL11;RHOBTB1;RHOA;ARHGAP24;SENP1;GNA13;TIAM1;ARHGAP10;PGRMC2;CDC42EP3;WASF2;RBMX;TMPO
Reactome_Pathways_2024	Impaired BRCA2 Binding to RAD51	4/35	1.094573e-02	1.706943e-01	0	0	5.064776e+00	2.286648e+01	BRIP1;RPA1;TOPBP1;DNA2
Reactome_Pathways_2024	FASTK Family Proteins Regulate Processing and Stability of Mitochondrial RNAs	3/19	1.117082e-02	1.718817e-01	0	0	7.350604e+00	3.303692e+01	MT-CO2;MT-CYB;MT-ND3
Reactome_Pathways_2024	P75 NTR Receptor-Mediated Signalling	7/98	1.149196e-02	1.744963e-01	0	0	3.028398e+00	1.352515e+01	GNA13;TIAM1;HDAC3;RASGRF2;MCF2;RPS27A;RHOA
Reactome_Pathways_2024	Protein Hydroxylation	3/20	1.290214e-02	1.933646e-01	0	0	6.917860e+00	3.009519e+01	RWDD1;RPL8;RPS23
Reactome_Pathways_2024	HDR Through Single Strand Annealing (SSA)	4/37	1.327863e-02	1.964556e-01	0	0	4.757331e+00	2.055928e+01	BRIP1;RPA1;TOPBP1;DNA2
Reactome_Pathways_2024	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	27/688	1.448726e-02	2.116240e-01	0	0	1.626893e+00	6.889056e+00	NUP107;ABCD3;RASGRF2;OSBPL11;RHOBTB1;TRAK2;GNA13;KLC2;PGRMC2;WASF2;TMPO;NDEL1;YWHAH;MAPK3;BCAP31;H2AZ2;ACBD5;ATP6AP1;MCF2;TMOD3;RHOA;ARHGAP24;SENP1;ARHGAP10;TIAM1;CDC42EP3;RBMX
Reactome_Pathways_2024	AMPK Inhibits chREBP Transcriptional Activation Activity	2/8	1.580491e-02	2.229400e-01	0	0	1.304819e+01	5.411652e+01	PRKAB2;ADIPOR2
Reactome_Pathways_2024	Netrin Mediated Repulsion Signals	2/8	1.580491e-02	2.229400e-01	0	0	1.304819e+01	5.411652e+01	DCC;UNC5D
Reactome_Pathways_2024	Iron Uptake and Transport	5/59	1.584149e-02	2.229400e-01	0	0	3.637486e+00	1.507783e+01	ATP6V0E1;ATP6AP1;FTH1;FLVCR1;RPS27A
Reactome_Pathways_2024	Chaperone Mediated Autophagy	3/22	1.679971e-02	2.335767e-01	0	0	6.189029e+00	2.529081e+01	LAMP2;PARK7;RPS27A
Reactome_Pathways_2024	Transcriptional Regulation by RUNX2	7/106	1.711026e-02	2.350624e-01	0	0	2.782531e+00	1.131955e+01	HDAC3;SMURF1;PSMB1;PPM1D;RPS27A;PPARGC1A;MAPK3
